Shape,Cut,Color,Clarity,Carat Weight,Length/Width Ratio,Depth %,Table %,Polish,Symmetry,Girdle,Culet,Length,Width,Height,Price,Type,Fluorescence
Radiant,,D,VVS2,1.02,1.2,72.5,66,Excellent,Very Good,Thick to Very Thick,None,5.94,4.95,3.59,3660,GIA,Faint
Marquise,,F,VVS2,1,1.85,61.3,62,Excellent,Very Good,Thin to Thick,None,10.06,5.45,3.34,6470,GIA,None
Radiant,,D,VS1,1.04,1.17,69.7,68,Very Good,Very Good,Slightly Thick,None,6.24,5.34,3.73,5150,GIA,None
Marquise,,E,VS1,1.09,2.02,63.5,62,Excellent,Excellent,Medium to Slightly Thick,Pointed,10.72,5.32,3.38,1100,IGI Lab-Grown,None
Cushion Modified,Ideal,F,VS1,2.73,1.01,65.8,63,Excellent,Excellent,Slightly Thick to Thick,None,8.11,8.06,5.3,6400,GIA Lab-Grown,
Oval,,E,VS1,1.08,1.49,63.6,59,Excellent,Excellent,Medium to Slightly Thick,Pointed,8.36,5.61,3.57,1050,IGI Lab-Grown,None
Oval,,F,VS1,1.1,1.42,62.6,61,Excellent,Excellent,Medium to Slightly Thick,Pointed,8.29,5.83,3.65,1050,IGI Lab-Grown,None
Radiant,,E,VS1,1.14,1.45,67.3,63,Excellent,Excellent,Thick,None,7.5,5.16,3.47,1120,GIA Lab-Grown,
Heart,,D,VVS2,1.01,1.13,63.2,61,Excellent,Very Good,Slightly Thick to Very Thick,None,6,6.78,4.29,7360,GIA,None
Cushion Modified,Ideal,F,VVS2,2.53,1.01,66.8,62,Excellent,Excellent,Medium to Thick,None,7.9,7.81,5.22,5170,GIA Lab-Grown,
Marquise,,D,VVS2,1.01,1.83,59,58,Excellent,Very Good,Medium to Very Thick,None,9.97,5.46,3.22,1230,GIA Lab-Grown,
Round,Very Good,E,VS2,1.01,1.01,64.4,57,Excellent,Very Good,Slightly Thick to Thick,None,6.2,6.27,4.01,4100,GIA,None
Cushion,Ideal,D,VVS1,1.75,1.03,67,60,Excellent,Excellent,Medium to Slightly Thick,Pointed,7.11,6.91,4.63,4690,IGI Lab-Grown,None
Oval,,G,VS1,1,1.43,66.6,58,Excellent,Very Good,Medium to Very Thick,None,7.78,5.45,3.63,4490,GIA,None
Marquise,,D,IF,2.17,1.97,66.7,55,Very Good,Very Good,Medium to Thick,None,13.11,6.64,4.43,31530,GIA,Faint
Princess,Very Good,G,VS2,1.01,1,76.6,71,Excellent,Very Good,Slightly Thick to Thick,None,5.18,5.18,3.97,2530,GIA,Medium
Heart,,G,VVS1,1.06,1.18,57.8,57,Excellent,Very Good,Medium to Very Thick,None,6.21,7.3,4.22,3860,GIA,Faint
Marquise,,E,VS1,1.2,2.06,63.8,54,Excellent,Excellent,Medium,Pointed,11.25,5.47,3.49,1190,IGI Lab-Grown,None
Marquise,,D,VS1,1.02,2.03,62.8,60,Excellent,Excellent,Medium to Slightly Thick,Pointed,10.6,5.21,3.27,1110,IGI Lab-Grown,None
Round,Ideal,D,VS1,1.59,1.01,61,57,Excellent,Excellent,Medium,Pointed,7.52,7.58,4.6,1860,IGI Lab-Grown,None
Princess,Ideal,E,VS2,1.01,1,71.5,70,Excellent,Very Good,Thick to Very Thick,None,5.42,5.41,3.87,4330,GIA,None
Emerald,,G,VS2,1.01,1.44,69.6,64,Excellent,Very Good,Slightly Thick to Thick,None,6.7,4.66,3.24,2700,GIA,None
Princess,Ideal,G,VVS1,1.02,1.01,72.6,71,Excellent,Excellent,Medium to Slightly Thick,None,5.61,5.54,4.02,3800,GIA,None
Pear,,G,VS1,1,1.52,63.3,62,Excellent,Excellent,Medium to Thick,None,8.41,5.53,3.5,5080,GIA,None
Heart,,E,VVS2,4.47,1.15,58.2,58,Excellent,Excellent,Slightly Thick to Very Thick,None,10.01,11.54,6.72,11090,GIA Lab-Grown,
Oval,,G,VS2,1.01,1.39,61.4,64,Excellent,Very Good,Thick to Very Thick,None,7.92,5.7,3.5,4430,GIA,Faint
Round,Excellent,H,VS2,1,1.01,63,57,Excellent,Excellent,Medium to Slightly Thick,None,6.32,6.36,4,4080,GIA,None
Princess,Ideal,G,VS1,1,1.02,72.7,73,Excellent,Very Good,Medium,None,5.65,5.54,4.03,3250,GIA,None
Heart,,D,VVS1,1.02,1.19,56.1,61,Very Good,Excellent,Slightly Thick to Thick,None,5.92,7.04,3.95,9530,GIA,None
Heart,,G,VS2,1.52,1.17,58.2,60,Excellent,Excellent,Medium to Thick,None,6.95,8.16,4.75,9730,GIA,None
Pear,,E,VS1,1.1,1.62,62.9,60,Excellent,Excellent,Slightly Thick to Thick,None,9.3,5.74,3.61,1100,GIA Lab-Grown,
Radiant,,H,VVS1,1.01,1.31,69.6,67,Excellent,Excellent,Thick to Very Thick,None,6.66,5.1,3.55,3610,GIA,None
Marquise,,D,VVS1,1.2,2.28,66.7,60,Excellent,Very Good,Thick to Very Thick,None,11.75,5.16,3.44,9510,GIA,None
Marquise,,D,VS1,1,1.75,66.1,59,Excellent,Very Good,Thick to Very Thick,None,9.12,5.22,3.45,6380,GIA,None
Pear,,E,VS1,1.1,1.62,60,61,Excellent,Excellent,Thin to Medium,Pointed,9.42,5.83,3.5,1100,IGI Lab-Grown,None
Pear,,E,VS1,1.06,1.64,62.4,60,Excellent,Excellent,Medium to Thick,Pointed,9.21,5.61,3.5,1070,IGI Lab-Grown,None
Pear,,F,VS1,1.04,1.58,61.7,59,Excellent,Excellent,Medium to Thick,None,8.95,5.67,3.5,1040,GIA Lab-Grown,
Marquise,,F,VS1,1,2.1,58.1,60,Excellent,Excellent,Medium to Thick,None,10.8,5.14,2.99,5130,GIA,Faint
Radiant,,H,VVS1,1.17,1.12,69.8,69,Very Good,Very Good,Slightly Thick to Thick,None,6.17,5.52,3.85,4240,GIA,None
Princess,Ideal,G,VVS1,1,1.01,72.5,70,Excellent,Very Good,Thick,None,5.43,5.39,3.91,3350,GIA,None
Marquise,,D,VS1,1,2.15,58.7,65,Excellent,Excellent,Medium to Thick,Pointed,11.02,5.13,3.01,1510,IGI Lab-Grown,None
Radiant,,D,VS1,1.03,1.45,68.6,65,Excellent,Excellent,Slightly Thick to Thick,Pointed,7.12,4.9,3.36,1100,IGI Lab-Grown,None
Round,Very Good,H,VVS1,1,1,59.4,62,Excellent,Excellent,Medium to Slightly Thick,None,6.45,6.46,3.84,4130,GIA,None
Pear,,H,VS1,1.01,1.56,59.9,64,Excellent,Excellent,Thick to Very Thick,None,8.67,5.57,3.34,3450,GIA,Faint
Marquise,,D,VS1,1.27,1.98,61.6,60,Excellent,Excellent,Medium to Slightly Thick,Pointed,11.41,5.75,3.54,1370,IGI Lab-Grown,None
Princess,Ideal,F,VS2,1.04,1.03,73.8,75,Excellent,Very Good,Thick to Very Thick,None,5.62,5.47,4.04,2790,GIA,None
Pear,,F,VS1,1.04,1.74,63.9,59,Excellent,Excellent,Medium to Thick,None,9.57,5.49,3.51,1040,GIA Lab-Grown,
Pear,,D,VS1,1,1.87,66.5,59,Excellent,Good,Medium to Extremely Thick,None,9.56,5.11,3.4,4080,GIA,None
Pear,,E,VS1,1.05,1.58,62.1,59,Excellent,Excellent,Medium to Slightly Thick,Pointed,8.9,5.65,3.51,1060,IGI Lab-Grown,None
Pear,,E,VS1,1.03,1.59,58.2,59,Excellent,Excellent,Thin to Medium,Pointed,9.21,5.81,3.38,1040,IGI Lab-Grown,None
Pear,,D,VS1,1.08,1.73,61.4,58,Excellent,Excellent,Thin to Thick,None,9.79,5.66,3.48,1100,GIA Lab-Grown,
Pear,,E,VVS2,1,1.59,58.5,62,Excellent,Excellent,Slightly Thick to Thick,None,8.94,5.62,3.29,4450,GIA,Faint
Marquise,,D,VVS2,1,1.99,61.9,58,Excellent,Excellent,Medium to Slightly Thick,Pointed,10.51,5.28,3.27,1360,IGI Lab-Grown,None
Radiant,,G,VVS2,1.01,1.3,68.8,68,Excellent,Excellent,Slightly Thick to Thick,None,6.71,5.16,3.55,3940,GIA,None
Pear,,G,VS1,1,1.59,62.5,64,Very Good,Very Good,Medium to Thick,None,8.79,5.52,3.45,4550,GIA,None
Radiant,,F,VS1,1,1.35,69.6,72,Excellent,Very Good,Thick to Very Thick,None,6.6,4.89,3.41,4380,GIA,Faint
Oval,,D,VS1,1.01,1.46,61.2,59,Excellent,Excellent,Medium to Slightly Thick,Pointed,8.35,5.7,3.49,1070,IGI Lab-Grown,None
Princess,Ideal,G,VS2,1,1.01,73.5,75,Very Good,Very Good,Slightly Thick to Very Thick,None,5.5,5.47,4.03,3040,GIA,None
Round,Ideal,E,VS1,1.58,1,61.9,57,Excellent,Excellent,Medium,Pointed,7.44,7.46,4.61,1840,IGI Lab-Grown,None
Heart,,D,VS1,2.09,1.15,56.4,60,Excellent,Excellent,Medium to Thick,Pointed,7.9,9.06,5.11,5090,IGI Lab-Grown,None
Round,Excellent,E,VS1,1.55,1,61.8,57,Excellent,Excellent,Slightly Thick,None,7.39,7.42,4.58,1770,GIA Lab-Grown,
Pear,,G,VS1,1.04,1.53,64.6,57,Very Good,Very Good,Medium to Very Thick,None,8.57,5.6,3.62,3850,GIA,Strong
Princess,Ideal,H,VVS2,1,1,74.5,64,Excellent,Excellent,Slightly Thick to Thick,None,5.47,5.47,4.07,2770,GIA,None
Marquise,,E,VVS2,2.08,1.8,60,62,Very Good,Very Good,Thin to Thick,Very Small,12.41,6.91,4.15,36510,GIA,None
Princess,Ideal,E,VVS2,1.04,1,70.3,68,Excellent,Excellent,Medium,Pointed,5.54,5.52,3.88,1210,IGI Lab-Grown,None
Cushion,Ideal,D,VS1,2.53,1.02,65.7,64,Excellent,Excellent,Medium to Slightly Thick,Pointed,8.01,7.85,5.16,4460,IGI Lab-Grown,None
Round,Ideal,E,VS1,1.58,1.01,61.2,57,Excellent,Excellent,Medium,Pointed,7.47,7.52,4.59,1840,IGI Lab-Grown,None
Radiant,,H,VVS1,1.01,1.4,66.7,67,Excellent,Excellent,Thick,None,7.09,5.06,3.38,3500,GIA,Faint
Radiant,,F,VS1,1.01,1.47,65.2,61,Excellent,Excellent,Medium,Pointed,7.23,4.91,3.2,1050,IGI Lab-Grown,None
Heart,,E,VS1,1.73,1.17,58.1,59,Excellent,Excellent,Medium to Thick,None,7.31,8.56,4.97,2480,GIA Lab-Grown,
Radiant,,E,VVS2,1.01,1.27,68.8,65,Excellent,Good,Slightly Thick to Thick,None,6.3,4.96,3.41,3610,GIA,Faint
Oval,,D,VS1,1,1.46,61,58,Excellent,Excellent,Medium to Thick,None,8.11,5.55,3.39,5100,GIA,Medium
Pear,,E,VS1,1.05,1.59,64.5,58,Excellent,Excellent,Medium to Slightly Thick,Pointed,8.96,5.64,3.64,1060,IGI Lab-Grown,None
Radiant,,F,VS1,1.07,1.43,67.7,66,Excellent,Excellent,Medium to Slightly Thick,Pointed,7.12,4.99,3.38,1100,IGI Lab-Grown,None
Round,Very Good,H,VS1,1,1.01,64.8,56,Excellent,Very Good,Medium to Thick,None,6.18,6.25,4.02,3520,GIA,None
Round,Excellent,F,VS1,1.59,1,62.3,57,Excellent,Excellent,Medium,None,7.47,7.49,4.66,3520,GIA Lab-Grown,
Emerald,,G,VS2,1,1.32,68.8,66,Excellent,Very Good,Slightly Thick to Thick,None,6.28,4.76,3.28,2720,GIA,Faint
Radiant,,F,VS1,1.01,1.42,68.2,64,Excellent,Excellent,Medium,Pointed,7.01,4.94,3.37,1050,IGI Lab-Grown,None
Marquise,,E,VS1,1.09,2.05,63,60,Excellent,Excellent,Medium to Slightly Thick,Pointed,10.84,5.3,3.34,1100,IGI Lab-Grown,None
Heart,,D,VS1,1.01,1.15,63.5,55,Excellent,Very Good,Slightly Thick to Extremely Thick,None,5.76,6.65,4.22,5710,GIA,None
Oval,,H,VS2,1,1.37,66.3,54,Excellent,Excellent,Very Thin to Very Thick,None,7.62,5.57,3.69,3350,GIA,None
Cushion Modified,Very Good,H,VS2,1.01,1.22,68.5,61,Excellent,Excellent,Thin to Slightly Thick,None,6.61,5.42,3.71,2480,GIA,Faint
Heart,,D,VS1,2.02,1.13,55.4,57,Excellent,Excellent,Slightly Thick to Thick,Pointed,7.84,8.86,4.91,3550,IGI Lab-Grown,None
Heart,,E,VS1,3.13,1.12,58.8,63,Excellent,Excellent,Slightly Thick to Thick,None,9.04,10.11,5.94,6690,GIA Lab-Grown,
Heart,,D,VS2,1.5,1.15,61,66,Excellent,Excellent,Slightly Thick to Very Thick,None,6.84,7.85,4.79,9840,GIA,None
Cushion Modified,Ideal,H,VS1,1,1.04,65.7,64,Excellent,Very Good,Medium to Slightly Thick,None,5.9,5.67,3.73,2420,GIA,None
Round,Very Good,F,VS2,1,1.02,61.2,62,Good,Good,Medium to Thick,None,6.34,6.46,3.91,4130,GIA,None
Round,Excellent,E,VS1,1.55,1.01,61.3,57,Excellent,Excellent,Medium to Slightly Thick,None,7.42,7.46,4.56,1770,GIA Lab-Grown,
Marquise,,D,VS1,1.09,2,60.3,59,Excellent,Excellent,Slightly Thick to Thick,None,10.97,5.48,3.3,1190,GIA Lab-Grown,
Square Radiant,,H,VVS2,1.04,1,71.2,56,Excellent,Excellent,Very Thick,None,5.76,5.76,4.1,5080,GIA,None
Heart,,D,VVS1,1.6,1.14,58.5,57,Excellent,Excellent,Medium to Thick,None,7.18,8.15,4.77,3550,GIA Lab-Grown,
Round,Excellent,E,VS1,1.58,1,62,57,Excellent,Excellent,Medium,None,7.47,7.49,4.64,1800,GIA Lab-Grown,
Princess,Ideal,E,VS1,1.11,1.03,71.4,67,Excellent,Excellent,Medium,Pointed,5.83,5.67,4.05,1100,IGI Lab-Grown,None
Cushion Modified,Ideal,F,VS1,2.03,1.01,65.9,62,Excellent,Excellent,Thick,None,7.38,7.32,4.82,4840,GIA Lab-Grown,
Radiant,,D,VS1,1.04,1.45,66.7,62,Excellent,Excellent,Medium to Slightly Thick,Pointed,7.26,5.01,3.34,1110,IGI Lab-Grown,None
Cushion Modified,Ideal,E,VVS2,2.21,1.01,67.5,61,Excellent,Excellent,Slightly Thick to Thick,None,7.51,7.47,5.04,3950,GIA Lab-Grown,
Pear,,F,VS2,1.02,1.53,63.8,59,Excellent,Excellent,Slightly Thick to Very Thick,None,8.57,5.6,3.57,4000,GIA,None
Round,Very Good,H,VS2,1,1.01,64.6,55,Excellent,Very Good,Slightly Thick to Thick,None,6.18,6.27,4.02,3610,GIA,None
Round,Ideal,D,VS1,1.58,1,61,59,Excellent,Excellent,Medium,Pointed,7.48,7.51,4.57,1850,IGI Lab-Grown,None
Pear,,E,VS1,1.06,1.63,60.8,60,Excellent,Excellent,Medium to Slightly Thick,Pointed,9.29,5.71,3.47,1070,IGI Lab-Grown,None
Marquise,,F,VS2,1,1.84,63,64,Excellent,Very Good,Slightly Thick to Very Thick,None,9.7,5.26,3.32,4120,GIA,None
Heart,,F,VS1,1.59,1.14,54.1,64,Excellent,Excellent,Slightly Thick to Thick,Pointed,7.29,8.32,4.5,1940,IGI Lab-Grown,None
Heart,,F,VS1,1.01,1.13,59.2,59,Excellent,Excellent,Medium to Thick,None,6.13,6.92,4.1,3780,GIA,Faint
Pear,,G,VS1,1,1.58,56.6,62,Excellent,Very Good,Medium to Thick,None,9,5.68,3.22,3700,GIA,None
Pear,,E,VS2,1.03,1.54,56.8,65,Excellent,Excellent,Medium to Thick,None,9,5.84,3.32,4960,GIA,None
Heart,,G,VS1,1.55,1.09,58.5,59,Excellent,Excellent,Slightly Thick to Very Thick,None,7.25,7.88,4.61,9520,GIA,Faint
Cushion,Ideal,E,VS1,2.05,1,67.3,62,Excellent,Excellent,Medium to Slightly Thick,Pointed,7.31,7.3,4.91,3080,IGI Lab-Grown,None
Oval,,H,VS2,1.01,1.37,64.9,57,Very Good,Excellent,Thick to Very Thick,None,7.64,5.58,3.62,5250,GIA,None
Round,Very Good,G,VS2,1,1.01,64.9,58,Excellent,Very Good,Slightly Thick to Thick,None,6.22,6.28,4.06,3580,GIA,Faint
Radiant,,F,VS2,1.01,1.44,65.2,66,Excellent,Excellent,Slightly Thick to Thick,None,7.25,5.02,3.27,4620,GIA,None
Oval,,F,VS1,1.07,1.45,60.6,61,Excellent,Excellent,Medium to Slightly Thick,Pointed,8.37,5.79,3.51,1070,IGI Lab-Grown,None
Princess,Ideal,E,VS2,1.01,1.02,73.3,74,Very Good,Very Good,Medium to Slightly Thick,None,5.64,5.53,4.05,4110,GIA,Faint
Pear,,D,VS2,1,1.75,59.9,66,Very Good,Very Good,Thick to Very Thick,None,9.09,5.2,3.12,3930,GIA,None
Emerald,,H,VS2,1,1.52,72.2,69,Very Good,Very Good,Thick to Extremely Thick,None,6.73,4.43,3.2,2520,GIA,None
Radiant,,E,VS1,1.01,1.1,74.5,70,Excellent,Good,Medium to Slightly Thick,None,5.77,5.23,3.9,4050,GIA,None
Princess,Ideal,D,VS1,1.08,1.01,72.1,67,Excellent,Excellent,Slightly Thick to Thick,None,5.62,5.54,3.99,1160,GIA Lab-Grown,
Round,Ideal,E,VS1,1.58,1.01,61,58,Excellent,Excellent,Thin to Medium,Pointed,7.48,7.52,4.58,1840,IGI Lab-Grown,None
Round,Excellent,D,VS1,1.59,1,60.7,59,Excellent,Excellent,Medium,None,7.51,7.54,4.57,1860,GIA Lab-Grown,
Cushion Modified,Ideal,F,VS1,2.51,1.01,65.7,60,Excellent,Excellent,Slightly Thick to Thick,None,7.98,7.87,5.17,5880,GIA Lab-Grown,
Oval,,D,VS1,1.02,1.48,63,57,Excellent,Excellent,Thin to Slightly Thick,Pointed,8.26,5.57,3.51,1080,IGI Lab-Grown,None
Round,Excellent,H,VS2,1,1.01,62.9,57,Excellent,Very Good,Thin to Slightly Thick,None,6.29,6.37,3.98,3680,GIA,None
Cushion Modified,Very Good,H,VVS1,1.01,1.08,69.1,62,Excellent,Very Good,Medium to Thick,None,5.89,5.43,3.75,2310,GIA,Medium
Oval,,H,VS1,1.01,1.53,59.8,60,Excellent,Excellent,Medium to Slightly Thick,None,8.49,5.56,3.32,3910,GIA,None
Oval,,D,VVS1,1,1.47,60.5,61,Excellent,Very Good,Medium to Slightly Thick,None,8.31,5.67,3.43,1640,GIA Lab-Grown,
Round,Excellent,E,VS1,1.59,1.01,61.5,56,Excellent,Excellent,Medium,None,7.48,7.53,4.62,1810,GIA Lab-Grown,
Round,Excellent,D,VS1,1.56,1,61.6,57,Excellent,Excellent,Medium to Slightly Thick,None,7.43,7.44,4.58,1830,GIA Lab-Grown,
Pear,,F,VS1,1.01,1.5,63.5,60,Very Good,Excellent,Medium to Thick,None,8.44,5.62,3.57,5030,GIA,None
Princess,Ideal,G,VVS2,1.02,1,71.7,73,Excellent,Excellent,Medium to Slightly Thick,None,5.47,5.45,3.91,3470,GIA,Faint
Princess,Ideal,E,VS1,1.15,1.02,71.6,67,Excellent,Excellent,Medium to Slightly Thick,None,5.83,5.7,4.08,1140,GIA Lab-Grown,
Princess,Ideal,E,VVS2,1.01,1,74.2,69,Excellent,Excellent,Medium to Slightly Thick,Pointed,5.34,5.32,3.95,1180,IGI Lab-Grown,None
Heart,,H,VS1,1.5,1.13,58.2,63,Excellent,Excellent,Medium to Thick,None,7.05,8,4.65,7830,GIA,Faint
Radiant,,H,VVS1,1,1.39,65.9,66,Excellent,Very Good,Thick,None,6.9,4.98,3.28,3380,GIA,None
Oval,,G,VS1,1,1.32,58.5,64,Excellent,Very Good,Medium to Very Thick,None,7.79,5.9,3.45,4530,GIA,None
Marquise,,E,VVS2,1.09,1.84,61.6,58,Very Good,Excellent,Slightly Thick to Thick,None,10.2,5.53,3.41,1210,GIA Lab-Grown,
Round,Very Good,H,VS2,1,1.01,63.6,59,Excellent,Very Good,Medium to Thick,None,6.25,6.29,3.99,3320,GIA,None
Cushion,Ideal,D,VS1,1.92,1.02,66.3,63,Excellent,Excellent,Medium to Slightly Thick,Pointed,7.33,7.2,4.77,5340,IGI Lab-Grown,None
Princess,Ideal,G,VVS2,1,1.01,74.2,71,Excellent,Excellent,Slightly Thick to Thick,None,5.5,5.42,4.02,5340,GIA,None
Oval,,F,VS1,1.12,1.46,61.9,58,Excellent,Excellent,Slightly Thick to Thick,None,8.51,5.81,3.6,1070,GIA Lab-Grown,
Radiant,,G,VS1,1.02,1.37,67.4,67,Excellent,Excellent,Slightly Thick to Thick,None,6.96,5.08,3.42,4340,GIA,None
Pear,,H,VS2,1.01,1.49,64.2,56,Excellent,Very Good,Slightly Thick to Very Thick,None,8.26,5.55,3.56,4200,GIA,None
Round,Very Good,H,VS1,1.01,1.01,64.4,57,Excellent,Very Good,Slightly Thick to Thick,None,6.21,6.29,4.02,4200,GIA,None
Pear,,D,VVS1,1.08,1.52,60.9,58,Excellent,Excellent,Medium to Thick,None,8.99,5.91,3.6,1920,GIA Lab-Grown,
Round,Excellent,H,VS1,1,1.01,61.8,56,Excellent,Very Good,Slightly Thick,Very Small,6.33,6.4,3.93,3600,GIA,None
Oval,,D,VS1,1.01,1.4,61.7,58,Excellent,Excellent,Slightly Thick,Pointed,8.01,5.74,3.54,1070,IGI Lab-Grown,None
Pear,,F,VS2,1.01,1.53,63.3,57,Excellent,Excellent,Slightly Thick to Thick,None,8.66,5.66,3.58,3940,GIA,Faint
Pear,,D,VS1,1.04,1.58,61.2,60,Very Good,Excellent,Medium to Very Thick,None,8.99,5.7,3.49,1080,GIA Lab-Grown,
Emerald,,H,VS2,1,1.3,72.4,63,Excellent,Excellent,Thick to Very Thick,None,6.14,4.73,3.42,2240,GIA,None
Cushion Modified,Ideal,E,VS1,3.06,1.01,66,63,Excellent,Excellent,Medium to Slightly Thick,None,8.48,8.43,5.56,6660,GIA Lab-Grown,
Pear,,E,VS1,1.04,1.56,63.9,61,Excellent,Excellent,Medium to Slightly Thick,Pointed,8.75,5.6,3.58,1050,IGI Lab-Grown,None
Marquise,,E,VS1,1,1.85,63.1,64,Very Good,Very Good,Medium to Very Thick,None,9.87,5.34,3.37,4830,GIA,Faint
Princess,Ideal,D,VS1,1.06,1.01,71.6,70,Excellent,Excellent,Slightly Thick,Pointed,5.53,5.46,3.91,1140,IGI Lab-Grown,None
